Id,group_id,outer_fold,actual_Q0_TOTAL_ASSETS,pred_Q0_TOTAL_ASSETS,postprocessed_pred_Q0_TOTAL_ASSETS,actual_Q0_TOTAL_LIABILITIES,pred_Q0_TOTAL_LIABILITIES,postprocessed_pred_Q0_TOTAL_LIABILITIES,actual_Q0_TOTAL_STOCKHOLDERS_EQUITY,pred_Q0_TOTAL_STOCKHOLDERS_EQUITY,postprocessed_pred_Q0_TOTAL_STOCKHOLDERS_EQUITY,actual_Q0_GROSS_PROFIT,pred_Q0_GROSS_PROFIT,postprocessed_pred_Q0_GROSS_PROFIT,actual_Q0_COST_OF_REVENUES,pred_Q0_COST_OF_REVENUES,postprocessed_pred_Q0_COST_OF_REVENUES,actual_Q0_REVENUES,pred_Q0_REVENUES,postprocessed_pred_Q0_REVENUES,actual_Q0_OPERATING_INCOME,pred_Q0_OPERATING_INCOME,postprocessed_pred_Q0_OPERATING_INCOME,actual_Q0_OPERATING_EXPENSES,pred_Q0_OPERATING_EXPENSES,postprocessed_pred_Q0_OPERATING_EXPENSES,actual_Q0_EBITDA,pred_Q0_EBITDA,postprocessed_pred_Q0_EBITDA
139,1334,4,331401784.0,575471951.9532496,575471951.9532496,56254670.0,-33826897.81902525,-33826897.81902525,275147114.0,441914398.32678425,441914398.32678425,17982150.0,24974054.0,24974054.0,0.0,-5964587.405791268,-5964587.405791268,17982150.0,30022304.400441587,30022304.400441587,-40215832.0,-31068813.212339237,-31068813.212339237,58197982.0,58511864.46556492,58511864.46556492,-40215832.0,-34477879.14999999,-34477879.14999999
411,814,4,5533000.0,210337866.3532317,210337866.3532317,4648000.0,-71828160.44832204,-71828160.44832204,885000.0,253399574.89906013,253399574.89906013,-1669000.0,-201000.0,-201000.0,2438000.0,-4092587.842240653,-4092587.842240653,769000.0,5358336.88633878,5358336.88633878,-6339000.0,-5565368.753952222,-5565368.753952222,4670000.0,12262850.277178515,12262850.277178515,-6339000.0,-4862100.0,-4862100.0
681,761,2,36550000000.0,29192633978.141228,29192633978.141228,16943241279.095451,15383115256.995771,15383115256.995771,15250000000.0,6326567422.124546,6326567422.124546,577000000.0,550719339.4472896,550719339.4472896,3467000000.0,3196667348.5769696,3196667348.5769696,4044000000.0,3822154768.783238,3822154768.783238,714000000.0,468047114.6086395,468047114.6086395,627000000.0,693826668.0151379,693826668.0151379,-50000000.0,-165394447.93544284,-165394447.93544284
1671,696,2,100449000.0,755687828.7395483,755687828.7395483,141057000.0,101844188.57974485,101844188.57974485,-40608000.0,530425165.64614147,530425165.64614147,-171000.0,11184047.658192165,11184047.658192165,512000.0,-6377084.998058507,-6377084.998058507,341000.0,19654748.95459993,19654748.95459993,-48297000.0,-45454571.73345354,-45454571.73345354,24344000.0,30199169.969740827,30199169.969740827,-24515000.0,-25441263.4268958,-25441263.4268958
500,1236,2,10599934.0,476373960.7198663,476373960.7198663,26203416.0,-9871189.966828033,-9871189.966828033,-15603482.0,371862693.55500764,371862693.55500764,-6219.0,9609919.073487025,9609919.073487025,193120.0,-5351595.161435238,-5351595.161435238,186901.0,14308275.031576373,14308275.031576373,-1076399.0,2431318.916003851,2431318.916003851,1070180.0,9234056.046798028,9234056.046798028,-1076399.0,-1008766.8292908816,-1008766.8292908816
1203,449,4,13322000.0,237891681.56685784,237891681.56685784,67881000.0,9671591.0752277,9671591.0752277,8277888.77383834,279617348.22736335,279617348.22736335,3223000.0,165000.0,165000.0,1889000.0,-4901221.159115757,-4901221.159115757,5112000.0,10719923.544693714,10719923.544693714,-3552000.0,-7476086.8959822245,-7476086.8959822245,8664000.0,17816081.238479223,17816081.238479223,-5441000.0,-9466650.000000002,-9466650.000000002
180,11,3,635001000.0,1360142346.2332442,1360142346.2332442,115305000.0,67393309.91282612,67393309.91282612,502273000.0,765575602.5243855,765575602.5243855,21465000.0,30318689.901677873,30318689.901677873,40457000.0,48749157.680677354,48749157.680677354,61922000.0,76216743.53258236,76216743.53258236,-143360000.0,-92039869.85529132,-92039869.85529132,205282000.0,160618982.46372184,160618982.46372184,-183817000.0,-132832073.04341248,-132832073.04341248
1960,1026,2,2672864000.0,2814363051.812343,2814363051.812343,288913000.0,458077484.9183651,458077484.9183651,2383951000.0,1250895724.282641,1250895724.282641,132902000.0,159495539.12386543,159495539.12386543,168499000.0,192205609.3079596,192205609.3079596,301401000.0,362488348.5872163,362488348.5872163,55706000.0,73501237.68114176,73501237.68114176,77196000.0,79897970.7189033,79897970.7189033,55706000.0,71876187.43288241,71876187.43288241
356,863,0,8388335000.0,8870485825.090307,8870485825.090307,5163154000.0,5746681208.119629,5746681208.119629,3225181000.0,3127536823.381364,3127536823.381364,313343000.0,334743664.88922995,334743664.88922995,687959000.0,711594317.1647455,711594317.1647455,1001302000.0,1047009921.1882995,1047009921.1882995,116260000.0,146278114.49846512,146278114.49846512,85661000.0,97565011.73520072,97565011.73520072,227682000.0,237803727.66978943,237803727.66978943
1646,1578,1,1563399000.0,1571891486.8037014,1571891486.8037014,1445358000.0,1217853262.8377018,1217853262.8377018,-136248000.0,870937128.4619174,870937128.4619174,72333000.0,75645252.74479441,75645252.74479441,116682000.0,110362119.20754564,110362119.20754564,189015000.0,203810634.3489319,203810634.3489319,23506000.0,19371598.976790242,19371598.976790242,11423000.0,20268448.60128586,20268448.60128586,60910000.0,55483250.0,55483250.0
1793,1064,4,320019000.0,668370436.8510419,668370436.8510419,126984000.0,97186591.3608098,97186591.3608098,193035000.0,627927415.3003348,627927415.3003348,177377000.0,210715000.0,210715000.0,58492000.0,85957160.84920241,85957160.84920241,235869000.0,304059610.6405882,304059610.6405882,25509000.0,42682279.401688516,42682279.401688516,151868000.0,186910090.25479922,186910090.25479922,25509000.0,41399249.99999999,41399249.99999999
235,94,4,0.0,176933155.61137304,176933155.61137304,0.0,-88880876.85038026,-88880876.85038026,-804876.0,208453202.19341028,208453202.19341028,0.0,0.0,0.0,0.0,-3709261.924003539,-3709261.924003539,0.0,8010751.489930246,8010751.489930246,-14550.0,-1813624.1158799198,-1813624.1158799198,14550.0,6368034.335601995,6368034.335601995,-14550.0,-1327382.65,-1327382.65
1668,245,3,267194000.0,584433554.6429954,584433554.6429954,175308000.0,136255382.74203062,136255382.74203062,91886000.0,581977339.4215664,581977339.4215664,5103000.0,9523795.092553405,9523795.092553405,0.0,7910009.505629432,7910009.505629432,5103000.0,15902303.262995332,15902303.262995332,-32762000.0,-26990624.801415615,-26990624.801415615,37865000.0,39204598.71382131,39204598.71382131,-32762000.0,-28855440.76009861,-28855440.76009861
1456,1010,3,2249377000.0,2426803849.245156,2426803849.245156,1923326000.0,2176158129.6458178,2176158129.6458178,326519000.0,1064866670.8092976,1064866670.8092976,-76300000.0,-66672708.53248458,-66672708.53248458,416103000.0,431204564.2199487,431204564.2199487,339803000.0,365569603.67464536,365569603.67464536,34941000.0,17010094.880717028,17010094.880717028,184914000.0,192269955.65690744,192269955.65690744,-261214000.0,-257426015.42394713,-257426015.42394713
1291,1021,2,396890000.0,887632418.2189229,887632418.2189229,107071000.0,118977209.41128515,118977209.41128515,289819000.0,620867475.3841879,620867475.3841879,52569000.0,56217194.33716194,56217194.33716194,13634000.0,9082903.29215283,9082903.29215283,66203000.0,76641804.96185508,76641804.96185508,8375000.0,-3176055.776594853,-3176055.776594853,57828000.0,71757669.45355812,71757669.45355812,-5259000.0,-19592128.335721076,-19592128.335721076
1376,1176,2,7827000.0,569427315.722814,569427315.722814,4744000.0,354075.9006064087,354075.9006064087,3083000.0,465012387.0483598,465012387.0483598,1288000.0,10236628.980269216,10236628.980269216,867000.0,-2866717.052148875,-2866717.052148875,2155000.0,19745925.864796873,19745925.864796873,-3880000.0,-2173311.9835791984,-2173311.9835791984,5168000.0,13670001.374253664,13670001.374253664,-3880000.0,-5383758.477696508,-5383758.477696508
1702,1493,0,11990000.0,65694389.77646719,65694389.77646719,3030000.0,33046947.464342467,33046947.464342467,8960000.0,44752197.61808081,44752197.61808081,1480000.0,4614723.534286138,4614723.534286138,3017000.0,-385434.1242852337,-385434.1242852337,4497000.0,-608739.7257793583,-608739.7257793583,-944000.0,5068.3735980745405,5068.3735980745405,2424000.0,7790348.150523565,7790348.150523565,-944000.0,-724569.5049571346,-724569.5049571346
1591,1286,2,7472874.0,440425117.49633926,440425117.49633926,3243445.0,-7328515.37584573,-7328515.37584573,4067990.0,386742961.730621,386742961.730621,3065804.0,9806587.237833649,9806587.237833649,0.0,2701404.8286974677,2701404.8286974677,3065804.0,17109922.44279763,17109922.44279763,-21884.0,-364638.9854713823,-364638.9854713823,3087688.0,12267362.682859587,12267362.682859587,-21884.0,-3832693.2573809763,-3832693.2573809763
647,1028,0,2182494000.0,2442645784.658859,2442645784.658859,2467501000.0,2462352701.939521,2462352701.939521,-484456000.0,-253013866.06391323,-253013866.06391323,389190000.0,375528378.3296535,375528378.3296535,141172000.0,134259073.4646037,134259073.4646037,531030000.0,502249403.088121,502249403.088121,-54175000.0,-66362756.87934216,-66362756.87934216,443365000.0,439124980.8863166,439124980.8863166,-54175000.0,-65894313.51236719,-65894313.51236719
100,1407,1,12166000.0,358517981.3516402,358517981.3516402,2892000.0,-60002701.13146895,-60002701.13146895,9274000.0,412602129.41491103,412602129.41491103,5000.0,8546536.796217091,8546536.796217091,54000.0,-1020471.9627635321,-1020471.9627635321,59000.0,10052473.268162189,10052473.268162189,-3433000.0,-5450595.545869797,-5450595.545869797,3433000.0,12303365.375737648,12303365.375737648,-3428000.0,-4682649.999999999,-4682649.999999999
507,447,1,189783000.0,573276695.6345284,573276695.6345284,45792000.0,-12707238.116067577,-12707238.116067577,143991000.0,522559140.29049504,522559140.29049504,2372000.0,10904547.27451043,10904547.27451043,0.0,-2098052.043975828,-2098052.043975828,2372000.0,18943013.74054363,18943013.74054363,-18270000.0,-23670791.538355622,-23670791.538355622,20642000.0,33252689.240516398,33252689.240516398,-18270000.0,-24136549.999999996,-24136549.999999996
547,960,3,1072653000.0,1114415799.867649,1114415799.867649,455367000.0,349658293.01724803,349658293.01724803,617286000.0,714143270.4797641,714143270.4797641,134998000.0,135984541.07129964,135984541.07129964,27783000.0,35302492.43940619,35302492.43940619,163452000.0,171605586.81126463,171605586.81126463,5489000.0,-1082852.99703527,-1082852.99703527,129509000.0,139411606.0015554,139411606.0015554,5489000.0,-2272592.917970293,-2272592.917970293
457,632,1,665104000.0,956285739.8969108,956285739.8969108,575531000.0,460472944.425724,460472944.425724,89573000.0,748371765.1282442,748371765.1282442,30803000.0,37644955.26091342,37644955.26091342,19437000.0,11123556.507724777,11123556.507724777,50240000.0,63396951.95978691,63396951.95978691,10357000.0,8969.451046764385,8969.451046764385,22017000.0,34417332.421544895,34417332.421544895,8786000.0,6306250.0,6306250.0
560,618,0,1900367000.0,1625346657.4586945,1625346657.4586945,289037000.0,427125241.8907635,427125241.8907635,1613343000.0,873398253.0588872,873398253.0588872,45433000.0,205417578.15342903,205417578.15342903,413911000.0,464353621.94812554,464353621.94812554,459344000.0,675845949.0077342,675845949.0077342,-6757000.0,209516632.23593813,209516632.23593813,52246000.0,66674146.31885993,66674146.31885993,-6813000.0,181312392.72865093,181312392.72865093
1402,1560,4,88944000.0,335398856.67390823,335398856.67390823,45361000.0,-29185917.191709183,-29185917.191709183,43583000.0,327713833.3964689,327713833.3964689,0.0,0.0,0.0,45000.0,-6324356.632120521,-6324356.632120521,45000.0,7899060.434100738,7899060.434100738,-14351000.0,-14505558.483290203,-14505558.483290203,14351000.0,19919015.469432976,19919015.469432976,-14351000.0,-14741149.999999996,-14741149.999999996
1274,683,0,5390785000.0,5941714744.798213,5941714744.798213,4083098000.0,4600969871.460546,4600969871.460546,1050686000.0,1035545872.4163524,1035545872.4163524,352054000.0,366682154.6167033,366682154.6167033,284900000.0,305337237.7209191,305337237.7209191,636954000.0,678871796.9822396,678871796.9822396,120850000.0,130477300.78075005,130477300.78075005,187232000.0,199924019.58164346,199924019.58164346,164822000.0,170316886.89626598,170316886.89626598
799,1475,3,18535000.0,275682649.8247553,275682649.8247553,13748000.0,-87270676.86326176,-87270676.86326176,4787000.0,490224138.9916492,490224138.9916492,2839000.0,8946834.830674,8946834.830674,7502000.0,16337144.282808632,16337144.282808632,10341000.0,24295479.16710674,24295479.16710674,-2229000.0,84133.88602820178,84133.88602820178,3071000.0,10614886.970364735,10614886.970364735,-232000.0,-170089.4076898503,-170089.4076898503
1436,366,2,13281300000.0,9341191774.82083,9341191774.82083,5777300000.0,5453593286.903426,5453593286.903426,7484300000.0,3943595246.019824,3943595246.019824,1030700000.0,1009727034.9697725,1009727034.9697725,1150100000.0,1113554599.5715413,1113554599.5715413,2180800000.0,2125897028.5527894,2125897028.5527894,687000000.0,615086509.0487337,615086509.0487337,343700000.0,375075637.800763,375075637.800763,687000000.0,641676968.2493105,641676968.2493105
1518,564,4,108681735.0,380097631.20257115,380097631.20257115,9192190.0,-91144164.09055486,-91144164.09055486,67531550.37365061,321218291.00524265,321218291.00524265,2201326.0,-261289.0,-261289.0,255772.0,-5705642.319372683,-5705642.319372683,2457098.0,5209127.235618683,5209127.235618683,-8935951.0,-11052734.024911962,-11052734.024911962,11137277.0,17855299.20264846,17855299.20264846,-8935951.0,-11414929.45,-11414929.45
211,1245,3,189692000.0,446492497.1942154,446492497.1942154,90178000.0,12547941.116698563,12547941.116698563,99514000.0,595834402.6131316,595834402.6131316,-4411000.0,3398361.537594863,3398361.537594863,24963000.0,34728636.57410083,34728636.57410083,20552000.0,38391889.98044849,38391889.98044849,-10000000.0,-3902041.0652273684,-3902041.0652273684,5589000.0,12170543.23281734,12170543.23281734,-10000000.0,-6033518.577959086,-6033518.577959086
1542,539,4,230878000.0,457251961.57556385,457251961.57556385,57278000.0,5320041.489382185,5320041.489382185,173600000.0,390921934.3815356,390921934.3815356,26973000.0,26987000.0,26987000.0,7041000.0,-1313200.2386681847,-1313200.2386681847,34014000.0,40353499.80457123,40353499.80457123,-11169000.0,-13043521.117697548,-13043521.117697548,38142000.0,45455493.92037923,45455493.92037923,-11169000.0,-11942649.999999998,-11942649.999999998
1496,129,4,73773000.0,336187728.71511436,336187728.71511436,50819000.0,-50894703.13929136,-50894703.13929136,38847689.64492722,335196123.9816181,335196123.9816181,5428000.0,5937000.0,5937000.0,22481000.0,9194896.285116667,9194896.285116667,27909000.0,33460372.220115,33460372.220115,-1778000.0,-3205757.818085797,-3205757.818085797,7206000.0,14089734.41584152,14089734.41584152,-1778000.0,-2042549.9999999993,-2042549.9999999993
1891,794,4,1582767000.0,1661849662.9282417,1661849662.9282417,680421000.0,664749183.5376669,664749183.5376669,880211000.0,746535587.006287,746535587.006287,56683000.0,54943000.0,54943000.0,17637000.0,10284896.171387896,10284896.171387896,74320000.0,79781634.0696784,79781634.0696784,-5119000.0,-13366437.724489937,-13366437.724489937,35279000.0,45456715.093566835,45456715.093566835,21404000.0,17065378.4,17065378.4
362,1155,3,5641000.0,212344666.68759874,212344666.68759874,5200000.0,-97164991.68747532,-97164991.68747532,-3859000.0,380604671.76291764,380604671.76291764,1192000.0,6473857.853153162,6473857.853153162,781000.0,8582977.936949106,8582977.936949106,1973000.0,13746479.789999172,13746479.789999172,-97000.0,118738.58592890296,118738.58592890296,2070000.0,9353036.462558847,9353036.462558847,-878000.0,-1450796.3879361362,-1450796.3879361362
605,905,3,3208196000.0,3000263465.529126,3000263465.529126,2133043000.0,1918422509.5106065,1918422509.5106065,1075153000.0,1498808662.978018,1498808662.978018,625972000.0,657140881.1224054,657140881.1224054,1066275000.0,1092161486.6677363,1092161486.6677363,1692247000.0,1748350732.4758377,1748350732.4758377,91616000.0,104847627.13164108,104847627.13164108,497965000.0,485371603.6348091,485371603.6348091,128007000.0,163760990.2129346,163760990.2129346
384,713,0,13057000.0,7752237.748146981,7752237.748146981,4943774.229094189,14172410.61962089,14172410.61962089,10949000.0,43675242.892427295,43675242.892427295,7944000.0,3364720.603574273,3364720.603574273,0.0,-3378604.5740578393,-3378604.5740578393,7944000.0,-2562322.8499960173,-2562322.8499960173,1997000.0,-1452329.872500523,-1452329.872500523,5947000.0,9110069.719863528,9110069.719863528,1997000.0,-2154168.8358847713,-2154168.8358847713
438,1575,4,5973000000.0,5218304643.747451,5218304643.747451,4408000000.0,3836309131.380178,3836309131.380178,1554000000.0,1930708954.0779097,1930708954.0779097,244000000.0,251000000.0,251000000.0,1526000000.0,1488853662.2493298,1488853662.2493298,1770000000.0,1768656717.1632898,1768656717.1632898,147000000.0,50724803.336693086,50724803.336693086,127000000.0,126546703.43779583,126546703.43779583,117000000.0,129850000.0,129850000.0
1761,738,0,589088000.0,720959257.3829215,720959257.3829215,253950000.0,363820456.8275144,363820456.8275144,335138000.0,353561835.54832613,353561835.54832613,19294000.0,27087660.263928972,27087660.263928972,99428000.0,89732428.83752558,89732428.83752558,118722000.0,115058951.23337518,115058951.23337518,9057000.0,11428028.942013852,11428028.942013852,10237000.0,17736381.86178721,17736381.86178721,9057000.0,11449033.674816819,11449033.674816819
403,525,3,21286772.0,206349634.0472284,206349634.0472284,1383236.0,-81318836.67375886,-81318836.67375886,19903536.0,446190547.5182324,446190547.5182324,781782.0,5982987.636387512,5982987.636387512,421382.0,8322465.403620557,8322465.403620557,1203164.0,13816847.318768213,13816847.318768213,-1960898.0,-546720.6061064871,-546720.6061064871,2742680.0,9779869.355035657,9779869.355035657,-1960898.0,-1762562.1167224166,-1762562.1167224166
388,1349,4,3445920.0,347002761.3830097,347002761.3830097,1859560.0,-50663162.144091584,-50663162.144091584,1616914.0883314284,144522448.5006038,144522448.5006038,2970901.0,1095092.0,1095092.0,569508.0,-1719119.7601070916,-1719119.7601070916,805185.0,9940143.920707028,9940143.920707028,2437201.0,-10760647.76443195,-10760647.76443195,533700.0,6964300.601153813,6964300.601153813,2437201.0,531952.1499999999,531952.1499999999
1452,124,4,328158000.0,611326139.1382796,611326139.1382796,124250521.82515822,79618305.29923439,79618305.29923439,270486000.0,467069225.366396,467069225.366396,24944000.0,28972000.0,28972000.0,16521000.0,10458446.512899842,10458446.512899842,41465000.0,51092262.53876012,51092262.53876012,-7674000.0,-6287087.997867992,-6287087.997867992,24827000.0,30142446.425520193,30142446.425520193,117000.0,3678600.000000001,3678600.000000001
1876,412,1,2498305.0,314972213.3485676,314972213.3485676,2997402.0,-46474071.15063146,-46474071.15063146,-3454854.0,428490513.8292211,428490513.8292211,467340.0,6553396.536547356,6553396.536547356,346611.0,2730575.2153458865,2730575.2153458865,813951.0,13135214.279967155,13135214.279967155,-114631.0,2826465.5221289936,2826465.5221289936,581971.0,6825589.3302048715,6825589.3302048715,-114631.0,-561072.7,-561072.7
